class,order,family,genus,species,rank,author,sci_name,S_001_01,S_001_02,S_001_03,S_002_01,S_002_02,S_002_03,S_003_01,S_003_02,S_003_03,S_004_01,S_004_02,S_004_03,S_005_03,S_005_02,S_005_01,S_006_01,S_006_02,S_006_03,S_007_01,S_007_02,S_007_03,S_008_01,S_008_02,S_008_03,S_009_01,S_009_02,S_009_03,S_010_01,S_011_01,S_012_01,S_013_01,S_013_02,S_014_01,S_015_01,S_016_01,S_017_01,S_018_01,S_018_02,S_021_01,S_022_01,S_023_01,S_024_01,S_025_01,S_026_01,S_027_01,S_027_02,S_028_01,S_029_01,S_029_02,S_030_01,S_030_02,S_032_01,S_032_02,S_031_01,S_033_01,S_034_01,S_035_01,S_039_01,S_040_01,S_040_02,S_041_01,S_041_02,S_046_01,S_046_02,S_047_01,S_047_02,S_048_01,S_048_02
Magnoliopsida,Lamiales,Lamiaceae,Phlomoides,tuberosa,SPECIES,(L.) Moench,Phlomoides tuberosa (L.) Moench,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2
Magnoliopsida,Lamiales,Lamiaceae,Salvia,nemorosa,SPECIES,L.,Salvia nemorosa L.,0,0,3,0,0,0,3,0,1,4,6,0,0,0,0,10,5,0,15,7,8,0,0,0,0,0,0,3,0,4,0,7,10,0,0,0,0,5,2,0,7,0,0,0,7,25,0,7,5,15,7,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Magnoliopsida,Lamiales,Lamiaceae,Salvia,nutans,SPECIES,L.,Salvia nutans L.,1,15,7,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,5,0,15,0,0,0,6,0,0,0,0,0,25,0,0,25,20,12,25,0,0,3,30,13,0,0,15,0,10,0,0,0,0,0,0,0,17,15,0,0,5,0,0,0,10,0,0,0,0,4
Magnoliopsida,Lamiales,Lamiaceae,Stachys,recta,SPECIES,L.,Stachys recta L.,7,7,3,0,0,0,0,0,10,0,1,5,0,0,5,8,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,10,5,0,18,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
Magnoliopsida,Lamiales,Lamiaceae,Thymus,dimorphus,SPECIES,Thymus ×dimorphus Klokov & Des.-Shost.,Thymus dimorphus Thymus ×dimorphus Klokov & Des.-Shost.,0,5,5,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,15,0,11,0,0,0,0,0,0,0,0,0,40,25,4,4,10,8,0,5,0,0,0,15,0,0,18,0,8,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,12,15,20
Magnoliopsida,Lamiales,Lamiaceae,Thymus,pannonicus,SPECIES,All.,Thymus pannonicus All.,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,30,7,0,5,0,0
Magnoliopsida,Lamiales,Plantaginaceae,Plantago,lanceolata,SPECIES,L.,Plantago lanceolata L.,3,1,3,3,0,3,0,0,0,0,8,0,7,0,0,0,5,0,6,2,5,0,0,0,0,0,0,0,3,0,0,2,2,8,0,3,4,3,0,0,0,5,0,0,8,0,0,0,0,0,0,9,1,0,0,5,0,0,2,1,0,0,0,0,5,0,0,0
Magnoliopsida,Lamiales,Plantaginaceae,Plantago,urvillei,SPECIES,Opiz,Plantago urvillei Opiz,0,5,5,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,7,0,2,0,0,0
Magnoliopsida,Lamiales,Plantaginaceae,Veronica,barrelieri,SPECIES,H.Schott ex Roem. & Schult.,Veronica barrelieri H.Schott ex Roem. & Schult.,0,3,1,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,7
Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,phoeniceum,SPECIES,L.,Verbascum phoeniceum L.,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
